species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,p_adjusted,significant
s__Phocaeicola_coprocola,4,0.708520882291436,0.10577479222655144,6.698390678696923,2.1072699141200246e-11,14.490247227010958,0.0023083952934388474,79.29641949512245,-1.6911843392777703,0.840373581549637,4.6852358571672027e-11,True
t__SGB1891,4,0.708520882291436,0.10577479222655144,6.698390678696923,2.1072699141200246e-11,14.490247227010958,0.0023083952934388474,79.29641949512245,-1.6911843392777703,0.840373581549637,4.6852358571672027e-11,True
s__Aliarcobacter_butzleri,4,-0.726582641857292,0.11188398338345232,-6.494071983182124,8.35467250936972e-11,5.602996357291066,0.13260644613274852,46.45722023188253,-0.8011911547976678,0.3439757978219233,1.8448713698164538e-10,True
t__SGB19413,4,-0.726582641857292,0.11188398338345232,-6.494071983182124,8.35467250936972e-11,5.602996357291066,0.13260644613274852,46.45722023188253,-0.8011911547976678,0.3439757978219233,1.8448713698164538e-10,True
t__SGB1877,4,-0.6998650375077891,0.10894603795242983,-6.423960436389417,1.3277379196097172e-10,10.167650971374352,0.017193501958920776,70.49465989296746,-0.8274857411776699,0.793633331135672,2.912021810127075e-10,True
s__Bacteroides_caccae,4,-0.6998650375077891,0.10894603795242983,-6.423960436389417,1.3277379196097172e-10,10.167650971374352,0.017193501958920776,70.49465989296746,-0.8274857411776699,0.793633331135672,2.912021810127075e-10,True
g__Paracoccus,4,0.704881754846483,0.11107977680844691,6.345725343525188,2.2137980337788576e-10,23.025508045661923,3.989163821049857e-05,86.9709715240563,-1.6227667934267538,2.0725362272990546,4.838943675185543e-10,True
s__GGB75672_SGB103056,4,0.7113265742231462,0.11218607137951621,6.340596167386833,2.2887780559699422e-10,8.246025446605104,0.04119154974469896,63.618836499769685,-1.0567058748899314,1.7374245234504022,4.952640141179105e-10,True
g__GGB75672,4,0.7113265742231462,0.11218607137951621,6.340596167386833,2.2887780559699422e-10,8.246025446605104,0.04119154974469896,63.618836499769685,-1.0567058748899314,1.7374245234504022,4.952640141179105e-10,True
t__SGB103056,4,0.7113265742231462,0.11218607137951621,6.340596167386833,2.2887780559699422e-10,8.246025446605104,0.04119154974469896,63.618836499769685,-1.0567058748899314,1.7374245234504022,4.952640141179105e-10,True
g__Uruburuella,4,0.6969009992034894,0.1107730562893657,6.2912500796494895,3.149194238716291e-10,19.982876497260296,0.00017113507991517452,84.98714636798506,-1.868215019376412,1.831179322340256,6.746783683607418e-10,True
s__Uruburuella_suis,4,0.6969009992034894,0.1107730562893657,6.2912500796494895,3.149194238716291e-10,19.982876497260296,0.00017113507991517452,84.98714636798506,-1.868215019376412,1.831179322340256,6.746783683607418e-10,True
t__SGB30674,4,0.6969009992034894,0.1107730562893657,6.2912500796494895,3.149194238716291e-10,19.982876497260296,0.00017113507991517452,84.98714636798506,-1.868215019376412,1.831179322340256,6.746783683607418e-10,True
s__Acidovorax_sp_210_6,4,0.6922807780950765,0.11020384409500467,6.281820600543428,3.3463076754003396e-10,15.648287582887088,0.0013386642131556492,80.82857319620845,-0.8447507808178993,1.8695404191706544,7.121911401263223e-10,True
t__SGB61892,4,0.6922807780950765,0.11020384409500467,6.281820600543428,3.3463076754003396e-10,15.648287582887088,0.0013386642131556492,80.82857319620845,-0.8447507808178993,1.8695404191706544,7.121911401263223e-10,True
s__Acinetobacter_bouvetii,4,0.6928666213977076,0.1103535701833916,6.278606303776705,3.416213978368887e-10,6.118056913075652,0.10600565644685322,50.96482359311939,-0.692577137122443,1.0018652042471887,7.223171385636176e-10,True
t__SGB10385,4,0.6928666213977076,0.1103535701833916,6.278606303776705,3.416213978368887e-10,6.118056913075652,0.10600565644685322,50.96482359311939,-0.692577137122443,1.0018652042471887,7.223171385636176e-10,True
s__Acetoanaerobium_noterae,4,-0.6814086020974611,0.10905174184947938,-6.24848893324407,4.144424803342872e-10,8.873590418625268,0.031019650667795218,66.19181347717904,-0.7291983249418161,2.4188614611113333,8.677808568811775e-10,True
