species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,p_adjusted,significant
t__SGB10124,5,0.6046740359158705,0.07864403626364222,7.68874621196695,1.4876988529977098e-14,19.470196596675923,0.0006351942437106128,79.45578011943184,-1.0173533981684426,0.8479286337088064,5.218389822822736e-14,True
s__Raoultella_ornithinolytica,5,0.604385295332777,0.07864546982663895,7.684934639783389,1.532107773982716e-14,19.441747306127525,0.0006434404968092,79.42571757046083,-1.0144066887154488,0.8475560612492324,5.3467434561437645e-14,True
o__OFGB1776,5,0.6041152606019828,0.07878988304481108,7.667421720354597,1.7541523789077473e-14,28.46709342825764,1.002882915102088e-05,85.94868840375031,-2.2840772115841808,0.8726171391262457,6.029347875240699e-14,True
f__FGB1776,5,0.6041152606019828,0.07878988304481108,7.667421720354597,1.7541523789077473e-14,28.46709342825764,1.002882915102088e-05,85.94868840375031,-2.2840772115841808,0.8726171391262457,6.029347875240699e-14,True
c__CFGB1776,5,0.6041152606019828,0.07878988304481108,7.667421720354597,1.7541523789077473e-14,28.46709342825764,1.002882915102088e-05,85.94868840375031,-2.2840772115841808,0.8726171391262457,6.029347875240699e-14,True
s__Arcobacter_ellisii,5,0.5864771810025955,0.07712164360321845,7.604573160032089,2.864375403532904e-14,23.632276956020807,9.463972134615695e-05,83.07399660454251,-1.2338222004659791,0.8721236894802108,9.747426746350777e-14,True
t__SGB28488,5,0.5864771810025955,0.07712164360321845,7.604573160032089,2.864375403532904e-14,23.632276956020807,9.463972134615695e-05,83.07399660454251,-1.2338222004659791,0.8721236894802108,9.747426746350777e-14,True
f__Akkermansiaceae,5,-0.589756116145717,0.07765179123045528,-7.594881029794104,3.086420008457935e-14,20.06304832087322,0.00048528842476824874,80.062850190923,-0.7958608343436769,1.3582024331436053,1.0399562984163683e-13,True
g__Akkermansia,5,-0.589756116145717,0.07765179123045528,-7.594881029794104,3.086420008457935e-14,20.06304832087322,0.00048528842476824874,80.062850190923,-0.7958608343436769,1.3582024331436053,1.0399562984163683e-13,True
o__Coriobacteriales,5,-0.6192366095569626,0.08184310158279962,-7.566142992888519,3.8413716652030416e-14,45.465543546461355,3.181494068194013e-09,91.20212871553511,-2.7634286527316885,5.214199696708299,1.287989323038667e-13,True
t__SGB9955,5,-0.620852367021652,0.08223866040727333,-7.549397861625951,4.374278717023117e-14,16.526984013177923,0.002387732943347487,75.7971569597298,-0.7571744871699,3.2352859909209193,1.4524304089533068e-13,True
