species,f_statistic,p_value,effect_size,n_samples,p_adjusted,significant
s__Aliarcobacter_cryaerophilus,13.010741100000724,1.6017216300726227e-07,10.403911832455087,60,7.28588009776937e-07,True
s__GGB89133_SGB125080,13.004279744359323,1.612010606139123e-07,9.928669224771596,60,7.288241891998702e-07,True
s__Polymorphobacter_arshaanensis,12.903312441716746,1.781982554963195e-07,8.42468224369079,60,8.008186662665925e-07,True
s__Actinobacteria_bacterium_IMCC25003,12.82475167482778,1.927007351601618e-07,6.9102289630131075,60,8.608068768232378e-07,True
s__Comamonas_denitrificans,12.429197000278913,2.866789172290683e-07,9.172836158591608,60,1.2729909062671726e-06,True
s__Polynucleobacter_sp_MG_6_Vaara_E2,12.379775884195691,3.0138274406895565e-07,7.315520187302415,60,1.3303640655351533e-06,True
s__GGB47467_SGB65430,12.062050978721949,4.1656330287949647e-07,9.692642728477882,60,1.8279777879300258e-06,True
s__GGB63067_SGB85311,11.899436630467063,4.923091703891285e-07,9.151713103397041,60,2.147734743335028e-06,True
s__GGB44499_SGB61930,11.67032070682923,6.240011061616177e-07,8.429018177471512,60,2.7064234023056205e-06,True
s__GGB75334_SGB102785,11.37284575747671,8.513731815967911e-07,9.35643124100298,60,3.6712392686196883e-06,True
s__Ruminococcus_bicirculans,11.27967514649399,9.390344172517187e-07,7.74146690769423,60,4.025975145228633e-06,True
s__Nitrospira_sp_SCGC_AG_212_E16,11.25872167889601,9.600042708543138e-07,8.900886812897006,60,4.092361063184674e-06,True
s__Candidatus_Nitrospira_nitrificans,11.2400195759211,9.791301095315415e-07,7.911795404911767,60,4.150176486991647e-06,True
s__Alphaproteobacteria_unclassified_SGB64958,11.090916132758815,1.146442132180626e-06,8.25168818023075,60,4.831897348060717e-06,True
s__GGB26682_SGB64469,11.04686902894917,1.2013312491222353e-06,8.874649165391642,60,5.034792763175211e-06,True
s__GGB69468_SGB93649,10.852689657313613,1.477720850622102e-06,3.336997650717017,60,6.158546114883173e-06,True
s__Limnohabitans_sp_103DPR2,10.68010568532335,1.7785274932575777e-06,8.204151595276977,60,7.371008388723073e-06,True
s__GGB32963_SGB54433,10.419789240063219,2.3572649874079264e-06,10.356080211573085,60,9.664004211015504e-06,True
s__Ruminococcus_bromii,10.419617165341922,2.3577061211860884e-06,9.366517343901979,60,9.664004211015504e-06,True
s__Faecalibacillus_intestinalis,10.292762605073575,2.7073266527684673e-06,7.811742807374643,60,1.1036424497078013e-05,True
s__Flavobacterium_sp_123,10.281659139865052,2.7403773561963224e-06,5.993671657954082,60,1.111044297675248e-05,True
s__Erysipelatoclostridium_ramosum,10.220065780336821,2.931448363854427e-06,7.138187528547144,60,1.182086745640758e-05,True
s__Acidovorax_sp_1608163,10.202721485251484,2.9877012058413344e-06,7.183112242547144,60,1.1982930642782985e-05,True
s__Candidatus_Methylopumilus_turicensis,10.19741044861646,3.005148844034537e-06,4.378300296178173,60,1.1988454746790184e-05,True
s__Emticicia_aquatica,10.191492180764511,3.024715509625326e-06,6.364132611611403,60,1.2002328564789858e-05,True
s__Polynucleobacter_sp_AP_Latsch_80_C2,10.07878365544413,3.423580517904872e-06,5.956450749714291,60,1.3513180245275314e-05,True
s__Mycolicibacterium_SGB15729,10.022754616000263,3.641731004264331e-06,2.4315841546348835,60,1.42985859430589e-05,True
s__Eubacterium_siraeum,10.012671437355026,3.6824917499039717e-06,7.140857836000132,60,1.4382925892295094e-05,True
s__Nitrospira_sp_ND1,9.978067353122324,3.826000610380118e-06,10.807362201075263,60,1.4865606538247749e-05,True
s__GGB39817_SGB99175,9.971168606287904,3.855295520366994e-06,5.194282782420324,60,1.4901815845563614e-05,True
s__GGB63514_SGB85828,9.894930810786898,4.19491065917143e-06,7.780776872980489,60,1.613094511207158e-05,True
s__GGB32963_SGB71265,9.79716009954326,4.676249422507259e-06,10.065585580029323,60,1.7889651636873927e-05,True
s__Dechloromonas_sp_H13,9.791076577579418,4.7080248464463e-06,5.1380043087920475,60,1.791931905841296e-05,True
s__Ruminococcus_gnavus,9.673068564770745,5.3706075799796295e-06,7.732565860295983,60,2.0337427688653826e-05,True
s__Bosea_sp_47_2_35,9.66691328062007,5.407707123085707e-06,7.232225606370045,60,2.037449249405019e-05,True
s__Aquirufa_nivalisilvae,9.635228057584012,5.602918507231048e-06,6.588506965716159,60,2.1003905559770662e-05,True
s__Thermomonas_sp_IMCC34681,9.602248699240961,5.813853662057063e-06,2.882623759471774,60,2.1685674159472845e-05,True
s__GGB24407_SGB36248,9.531788999479481,6.292472596587783e-06,7.589367551009843,60,2.3354152025146697e-05,True
s__GGB41158_SGB46801,9.527355312621056,6.3239195324600954e-06,7.585495380389705,60,2.3354673124827877e-05,True
s__GGB41936_SGB59041,9.473386263924375,6.719996110554708e-06,8.395007659451,60,2.469515812056065e-05,True
s__GGB62437_SGB95276,9.460894561247748,6.8152732462355035e-06,6.528063098492051,60,2.4922518831821987e-05,True
s__Candidatus_Megaira_endosymbiont_of_Carteria_cerasiformis,9.450562217323057,6.895135169379342e-06,9.301727496515845,60,2.5061323907488155e-05,True
s__Bacteroides_fragilis,9.44731679540291,6.92041920233587e-06,7.755074476325962,60,2.5061323907488155e-05,True
s__Zoogloea_oleivorans,9.433618554451684,7.0281982577371455e-06,4.833305292450946,60,2.5212552115715155e-05,True
s__GGB46599_SGB103509,9.429170406497274,7.063568696362473e-06,7.416603654342298,60,2.5212552115715155e-05,True
s__GGB4567_SGB6308,9.429170214026616,7.063570230810278e-06,6.978505356144483,60,2.5212552115715155e-05,True
s__GGB67335_SGB103624,9.396283624406657,7.330851059542852e-06,7.668176382164663,60,2.604197566866175e-05,True
s__Limnohabitans_sp_Jir72,9.338778595209444,7.823621182329918e-06,6.072184254716145,60,2.7660764938474497e-05,True
s__Dorea_longicatena,9.319548552484738,7.995943789159521e-06,8.088116248513861,60,2.8136670126004732e-05,True
s__Limnohabitans_sp_JirII_29,9.28384325888258,8.326384996191038e-06,6.6514226126685605,60,2.909213039552772e-05,True
s__Alistipes_onderdonkii,9.281826685254599,8.345463679146022e-06,9.179569006089954,60,2.909213039552772e-05,True
s__GGB45985_SGB63721,9.274325071666691,8.41683357802125e-06,5.493557081432381,60,2.920445511257606e-05,True
s__GGB24172_SGB35979,9.234226814407693,8.809169732967945e-06,5.43798635598587,60,3.042426213330596e-05,True
s__Coprococcus_eutactus,9.22437159706362,8.908459429199705e-06,7.141048327540705,60,3.062539508840083e-05,True
s__Flavobacterium_celericrescens,9.178006683841616,9.391337602112009e-06,2.886041028753102,60,3.2111033616501345e-05,True
s__Lachnospira_pectinoschiza,9.174708889934454,9.426697536211521e-06,7.759818753540847,60,3.2111033616501345e-05,True
s__Candidatus_Methylopumilus_SGB80876,9.155783325158815,9.632301036675897e-06,6.087009562078178,60,3.266225715163736e-05,True
s__Polynucleobacter_sinensis,9.103130722596148,1.0229047769464992e-05,5.987767892685936,60,3.452882188244744e-05,True
s__Ferribacterium_limneticum,9.091489149277013,1.036607134456042e-05,5.7994646109755745,60,3.4833735238928256e-05,True
s__GGB75160_SGB103632,9.039225047724251,1.1005006833950812e-05,5.615283535514388,60,3.681495559698343e-05,True
s__Candidatus_Bandiella_numerosa,8.989073536812752,1.1656424325780586e-05,2.735563021382451,60,3.882005601353713e-05,True
s__Candidatus_Saccharimonas_aalborgensis,8.971461465717958,1.1894533144249008e-05,7.382851107696684,60,3.943698544715449e-05,True
s__Phocaeicola_paurosaccharolyticus,8.94636315570864,1.2242570826802077e-05,6.788944842951838,60,4.04113178619219e-05,True
s__Aeromonas_caviae,8.938922198849045,1.2347764149591572e-05,8.872187908365461,60,4.0578995839626923e-05,True
s__Acidovorax_temperans,8.91921569250894,1.263089277774925e-05,8.68510736121766,60,4.1327394790355e-05,True
s__Enterocloster_bolteae,8.866955183706146,1.3414682824811552e-05,7.010496737973453,60,4.3700233132355534e-05,True
s__GGB26945_SGB39146,8.85658230042304,1.3576139395326152e-05,7.078327880183332,60,4.403391299527526e-05,True
s__Ruthenibacterium_lactatiformans,8.803216240343676,1.4439116613517032e-05,6.873958759902445,60,4.663022075187752e-05,True
