species,p_value,f_statistic,p_value_kw,kw_statistic,effect_size,n_samples,r_squared,p_adjusted,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf
s__Polynucleobacter_sp_86C_FISCH,5.8553836002803556e-21,33.550700108027065,1.5784209679009238e-17,84.918695167647,9.368614438075536,187,0.42442002489766983,8.241728614734236e-20,True,4.865710917578881e-17,True,20.23244464798225,19.08398169011037,4.368116165809145e-18,True
s__actinobacterium_SCGC_AAA028_A23,6.6390006641362974e-21,33.440059331058265,1.5807230907923284e-23,113.10860731536042,9.611694706134044,187,0.4236133037450299,9.17165647304755e-20,True,2.9288480309809527e-21,True,20.177897287908177,19.037552220258476,4.952694495445678e-18,True
s__GGB41936_SGB59041,9.89190424936962e-21,33.08978642931214,2.6437214360239635e-07,36.190706208027024,8.238225850914475,187,0.4210443612679222,1.3417019218235886e-19,True,3.186132780733242e-07,True,20.004720096129148,18.872343958150722,7.379360570029737e-18,True
s__Polynucleobacter_sp_MWH_Jannik1A5,1.1223833882241086e-20,32.97913563913022,1.4412097388624115e-21,103.91661815675802,11.37808657942312,187,0.42022806916194666,1.4951750135985448e-19,True,2.690635516592392e-20,True,19.949858769684607,18.82530796921814,8.37298007615185e-18,True
s__GGB45985_SGB63721,1.2648172129639338e-20,32.87462307444305,3.0911550973259206e-22,107.05404726429279,7.001935742037473,187,0.41945494325653787,1.6553572646861309e-19,True,9.224006810420547e-21,True,19.8979722326992,18.78110826089902,9.435536408710946e-18,True
s__GGB67335_SGB103624,3.259055344909909e-20,32.051366620696776,1.7617480157422253e-21,103.50722540645172,8.82562509603569,187,0.4132920929357673,4.120771673394563e-19,True,2.8570956950950003e-20,True,19.486908264332374,18.38502144850185,2.431255287302792e-17,True
s__Candidatus_Planktophila_limnetica,3.232485076001771e-20,32.05845093683233,1.937726264330801e-21,103.31312514382165,10.709324754689925,187,0.41334568379843517,4.120771673394563e-19,True,3.075625091895271e-20,True,19.490463471528788,18.38502144850185,2.4114338666973213e-17,True
s__Deefgea_tanakiae,4.0552587779133043e-20,31.86244010444336,9.10359281769475e-17,81.32987474987006,6.855127079000994,187,0.4118592958214272,5.042038413872209e-19,True,2.582235833460184e-16,True,19.391981426968517,18.29739384987949,3.025223048323325e-17,True
s__Flavobacterium_sp_GENT11,5.3721404412373e-20,31.62002713186447,2.549167818175731e-15,74.4941531248547,13.622218802615476,187,0.4100105810102823,6.56986355600496e-19,True,6.214637883526456e-15,True,19.26985264230691,18.18244364984501,4.0076167691630254e-17,True
s__GGB46437_SGB64294,6.148857064897565e-20,31.503878843423035,5.103467388122618e-15,73.06821245027918,6.084685890760515,187,0.40912067439462263,7.39846350066707e-19,True,1.1934754456236592e-14,True,19.211205602360742,18.13085846438633,4.587047370413583e-17,True
